"id_docente";"nome";"tipo";"nome_instituicao";"ano_inicio";"ano_fim";"outras_informacoes"
20;Aristófanes Corrêa Silva;Revisor de projeto de fomento;Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;2007;"";""
20;Aristófanes Corrêa Silva;Revisor de periódico;International Journal on Computational Intelligence and Applications;2007;"";""
20;Aristófanes Corrêa Silva;Revisor de periódico;Revista IEEE América Latina;2007;"";""
16;Carlos de Salles Soares Neto;Revisor de periódico;Revista Brasileira de Informática na Educação (RBIE);2022;"";""
16;Carlos de Salles Soares Neto;Membro de comitê assessor;Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;2019;"2023";""
16;Carlos de Salles Soares Neto;Revisor de periódico;Multimedia Tools and Applications;2011;"";""
16;Carlos de Salles Soares Neto;Membro de corpo editorial;Multimedia Tools and Applications;2011;"";""
24;Davi Viana dos Santos;Membro de corpo editorial;iSys - Revista Brasileira de Sistemas de Informação;2021;"";Editor-chefe da revista
24;Davi Viana dos Santos;Revisor de periódico;Empirical Software Engineering;2021;"";""
24;Davi Viana dos Santos;Revisor de periódico;Journal on Interactive Systems;2021;"2021";Revisor convidado de Edição Especial dos Melhores trabalhos do SBGames - Education Track
24;Davi Viana dos Santos;Revisor de periódico;IEEE Latin America Transactions;2021;"";""
24;Davi Viana dos Santos;Revisor de periódico;Journal of the Brazilian Computer Society;2020;"";Revisor de Edição Especial
24;Davi Viana dos Santos;Revisor de periódico;iSys - Revista Brasileira de Sistemas de Informação;2017;"2018";Revisor convidado da iSys
24;Davi Viana dos Santos;Membro de corpo editorial;REVISTA ELETRÔNICA DE INICIAÇÃO CIENTÍFICA;2017;"2020";Seção: Sistemas de Informação
24;Davi Viana dos Santos;Revisor de periódico;Journal of Software Engineering Research and Development;2017;"";""
43;Erico Meneses Leão;Revisor de periódico;Ad Hoc Networks;2021;"";""
43;Erico Meneses Leão;Revisor de periódico;Evolving Systems;2021;"";""
43;Erico Meneses Leão;Revisor de periódico;WIRELESS COMMUNICATIONS AND MOBILE COMPUTING;2021;"";""
43;Erico Meneses Leão;Revisor de periódico;International Journal of Distributed Sensor Networks;2017;"";""
37;Flavio Henrique Duarte de Araujo;Revisor de periódico;Neural Computing and Applications;2021;"";""
37;Flavio Henrique Duarte de Araujo;Revisor de projeto de fomento;Fundação Cearense de Apoio ao Desenvolvimento Científico e Tecnológico;2020;"";""
37;Flavio Henrique Duarte de Araujo;Revisor de periódico;IEEE Transactions on Medical Imaging;2020;"";""
37;Flavio Henrique Duarte de Araujo;Revisor de periódico;The Journal of Supercomputing;2019;"";""
37;Flavio Henrique Duarte de Araujo;Revisor de periódico;Computers in Biology and Medicine;2019;"";""
37;Flavio Henrique Duarte de Araujo;Revisor de periódico;ARTIFICIAL INTELLIGENCE IN MEDICINE;2018;"";""
37;Flavio Henrique Duarte de Araujo;Revisor de periódico;International Journal of Pattern Recognition and Artificial Intelligence;2016;"";""
37;Flavio Henrique Duarte de Araujo;Revisor de periódico;IEEE Latin America Transactions;2013;"";""
51;Francisco Airton Pereira da Silva;Membro de corpo editorial;Applied Sciences-Basel;2022;"";""
51;Francisco Airton Pereira da Silva;Revisor de periódico;Cluster Computing, Springer;2020;"";""
51;Francisco Airton Pereira da Silva;Revisor de periódico;Journal of Reliable Intelligent Environments;2019;"";""
51;Francisco Airton Pereira da Silva;Revisor de periódico;JOURNAL OF SUPERCOMPUTING;2013;"";""
23;Francisco José da Silva e Silva;Revisor de periódico;The Journal of Supercomputing;2020;"";""
23;Francisco José da Silva e Silva;Revisor de periódico;ACM COMPUTING SURVEYS;2020;"2021";""
23;Francisco José da Silva e Silva;Revisor de periódico;SENSORS;2019;"";""
23;Francisco José da Silva e Silva;Revisor de periódico;Future Generation Computer Systems-The International Journal of eScience;2018;"2018";""
23;Francisco José da Silva e Silva;Revisor de periódico;Journal of Ambient Intelligence and Humanized Computing;2017;"2017";""
