"id_docente";"nome";"titulo";"tipo";"issn_ou_sigla";"nome_local";"ano";"qualis";"natureza";"percentile_ou_h5";"autores";"doi"
33;Alexandre César Muniz de Oliveira;Patient-Specific Modeling of Medical Data;TRABALHO-EM-EVENTOS;MLDM;"11th International Conference, MLDM 2015, Hamburg, Germany, July 20-21, 2015, Proceedings - Lecture Notes in Computer Science";2015;B1;INTERNACIONAL;;"RIBEIRO, GUILHERME A.;Alexandre César Muniz de Oliveira;FERREIRA, ANTONIO;Shyam Visweswaran,;Gregory F. Cooper;";""
33;Alexandre César Muniz de Oliveira;Educação Tutorial em Ciência da Computação: uma proposta de sistematização;TRABALHO-EM-EVENTOS;WEI;"23º WEI - Workshop sobre Educação em Computação - Congresso da Sociedade Brasileira de Computação";2015;A4;NACIONAL;;"Julia Manayra da S. Ferreira;Jorge Luis M. Ribeiro;Aristoteles T. de Freitas Junior;Gabriel Garcez Barros Sousa;Italo Francyles Santos da Silva;Hugo Gois Santos;Matheus Chaves Menezes;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Personalized Modeling for Prediction with Decision-Path Models;ARTIGO-PUBLICADO;"19326203";Plos One;2015;A2;COMPLETO;87;"VISWESWARAN, SHYAM;FERREIRA, ANTONIO;RIBEIRO, GUILHERME A.;Alexandre César Muniz de Oliveira;COOPER, GREGORY F.;";"10.1371/journal.pone.0131022"
33;Alexandre César Muniz de Oliveira;Ensino tutorial de robótica em Ciência da Computação e Engenharia Elétrica;TRABALHO-EM-EVENTOS;-;Workshop de Robótica Educacional - WRE - V WORKSHOP DE ROBÓTICA EDUCACIONAL - ANAIS;2014;SQ;NACIONAL;;"Matheus Chaves Menezes;Rodrigo Fumihiro de Azevedo Kanehisa;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Artificial bee and differential evolution improved by clustering search on continuous domain optimization;ARTIGO-PUBLICADO;"14327643";SOFT COMPUTING;2014;A1;COMPLETO;99;"Costa, Tarcísio Souza;Alexandre César Muniz de Oliveira;";"10.1007/s00500-014-1500-9"
33;Alexandre César Muniz de Oliveira;Clustering Search and Variable Mesh algorithms for continuous optimization;ARTIGO-PUBLICADO;"09574174";Expert Systems with Applications;2014;A1;COMPLETO;96;"COSTA SALAS, YASEL J.;MARTÍNEZ PÉREZ, CARLOS A.;BELLO, RAFAEL;Alexandre César Muniz de Oliveira;CHAVES, ANTONIO A.;LORENA, LUIZ A.;";"10.1016/j.eswa.2014.08.040"
33;Alexandre César Muniz de Oliveira;GLOSSÁRIO DINÂMICO DE LIBRAS PARA APOIO AO ENSINO NÃO PRESENCIAL;ARTIGO-PUBLICADO;"21782229";Cadernos de Pesquisa;2014;A3;COMPLETO;;"Dayse Yanne Caldas Siqueira de Sousa;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Uma aplicação das metaheurísticas Algoritmo Genético e Colônia Artificial de Abelhas através da codificação por regras para resolver o problema de carregamento de navios-contêineres.;TRABALHO-EM-EVENTOS;-;XLV Simpósio Brasileiro de Pesquisa Operacional - Anais do XLV Simpósio Brasileiro de Pesquisa Operacional. Rio de Janeiro: SOBRAPO;2013;SQ;NACIONAL;;"Luziana Ferronatto Carraro;Leonardo Dagnino Chiwiacowsky;Arthur Tórgo Gómez;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;Artificial Bee Clustering Search;TRABALHO-EM-EVENTOS;NETWORKS;. International Work Conference on Artificial Neural Networks (IWANN 2013) - Lecture Notes in Computer Science series (LNCS);2013;B2;INTERNACIONAL;;"Tarcisio S. Costa;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;New Clustering Search approaches applied to continuous domain optimization;TRABALHO-EM-EVENTOS;CEC;"2013 IEEE Congress on Evolutionary Computation (CEC) - 2013 IEEE Congress on Evolutionary Computation";2013;A1;INTERNACIONAL;;"COSTA, TARCISIO SOUZA;Alexandre César Muniz de Oliveira;";"10.1109/CEC.2013.6557963"
